name,lat,lng,likes,ratings,photos
La Salsa,34.0536155,-118.2568651,1,,1
Border Grill,34.0536155,-118.2568651,90,8.0,200
Mission Burrito,34.1863863,-118.6420812,0,,12
Taco Bell,34.1857022,-118.6431537,4,5.9,9
El Pollo Loco,34.1878694,-118.6423858,1,6.8,0
El Torito Market,33.9312871,-118.3344814,0,,0
Coni' Seafood,33.9307027,-118.3348942,85,8.1,90
Muy Prontos Tacos,33.7309282,-118.2876745,2,,3
El Taco,33.7358846,-118.2880856,6,7.5,16
LBJ's Burgers,33.8269278,-118.3859921,5,,3
El Burrito Jr,33.8271066,-118.3857981,37,7.6,50
Los Tripones,34.1814193,-118.3701358,0,,0
Mis Burritos,34.1870185,-118.3707796,3,6.1,9
Taco Bell,33.9452851,-118.300633,1,5.8,0
Tamales House,34.2090096,-118.5354069,0,,0
Tacos Mexico,34.2085422,-118.528167,4,,11
La Parrilla Fresh,34.2062997,-118.5365015,0,,0
Cafe Oaxaca,33.9458681,-118.2536547,0,,2
Taco Bell,33.9458619,-118.2656835,5,5.8,0
Kayndaves,34.0466794,-118.5251728,2,,3
Chipotle Mexican Grill,34.04649029999999,-118.5243338,4,7.4,13
Lax Tacos,33.9567515,-118.2240168,1,,1
Mariscos Manzanillo,33.960201,-118.223381,0,,1
Happy Tom's Restaurant,34.0780085,-118.2595831,5,7.0,10
Tacos Mexico,34.0828773,-118.2598196,6,7.3,10
Don Cuco Mexican Restaurant,34.1523704,-118.3424737,99,8.3,150
Chipotle Mexican Grill,34.1516335,-118.3433412,76,7.8,95
El Carpintero Mexican Restaurant,34.1488423,-118.3427965,19,7.8,12
El Zocalo,33.7792437,-118.273078,0,,3
Taco Sinaloa,33.7793254,-118.271414,6,,0
Isaac Cafe,33.7779839,-118.2646993,22,8.6,24
Camarena's Taco Shop,33.779471,-118.268333,0,,0
Cabo Wabo Cantina,34.102321,-118.3399899,80,6.9,146
El Pollo Loco,33.7908965,-118.2629634,4,5.6,3
Agua Verde,33.7911018,-118.2706147,2,,3
Los Tres Cochinitos,33.7910368,-118.2721677,30,7.4,20
Taco Bell,33.7908755,-118.2636943,6,5.7,5
Mi Pueblito San Juan Restaurant,33.7897115,-118.2752233,2,,0
El Barrio Neighborhood Tacos,33.8682536,-118.3833218,3,,18
La Paz # 2 Mexican Restaurant,33.8647826,-118.3877703,4,,6
Mariscos 4 Vientos,34.0182565,-118.2068136,57,8.8,93
Restaurante El Gordo,34.0218363,-118.2044021,0,,0
Mariscos 4 Vientos,34.0215067,-118.2140332,8,7.2,14
Pronto's,33.7229956,-118.311667,4,5.9,15
Carnitas Zamora Bros,33.9202253,-118.344127,2,,1
Mariscos Guillen,33.9206969,-118.3441631,7,7.6,6
Poquito Más,34.0432125,-118.431674,81,8.7,67
La Serenata Restaurant,34.0390225,-118.4302066,16,7.4,14
Taco Bell,34.0694634,-118.277272,26,6.4,16
Alfredo's Restaurant,33.7893193,-118.3252595,10,6.2,12
King Taco # 27,33.7906254,-118.1898463,81,7.8,83
Tacos Guadalajara,33.7951186,-118.1933315,1,,0
El Pollo Loco,34.0309721,-118.3354457,16,5.6,17
Taco Bell,34.030813,-118.3348071,6,5.8,8
Gish Bac,34.0401043,-118.3301621,9,7.6,16
Mi Ranchito Veracruz,34.2087981,-118.4244794,3,,1
Pollos Al Carbon,34.2070296,-118.4309326,7,,3
Leonor's Restaurant,34.1869236,-118.3792705,29,7.1,34
El Pollo Loco,34.1870965,-118.3874871,16,6.1,10
Taqueria La Chispita,34.1856703,-118.3874414,2,,7
Casa La Golondrina Mexican Cafe,34.057718,-118.2379069,55,7.1,199
La Luz Del Dia Restaurant,34.0574509,-118.238118,28,7.4,78
El Paseo Inn,34.0575265,-118.2376643,46,7.3,155
Chipotle Mexican Grill,33.8465812,-118.2637748,2,7.1,15
Rubio's,33.772589,-118.3731306,23,7.5,26
Chipotle Mexican Grill,33.9855732,-118.3932726,9,7.4,21
El Pollo Amigo,34.193525,-118.643084,8,8.0,3
El Taco Llama,34.2087657,-118.5527226,4,,2
Tacos Mexico,34.2086416,-118.5538396,6,7.3,8
